date,open,high,low,close,volume
2020-07-17,1.262148,1.263574,1.253594,1.255020,1000
2020-07-20,1.255020,1.267983,1.252860,1.265823,1000
2020-07-21,1.265823,1.275108,1.264275,1.273561,1000
2020-07-22,1.273561,1.275146,1.271327,1.272912,1000
2020-07-23,1.272912,1.276420,1.272328,1.275836,1000
2020-07-24,1.275836,1.279752,1.275183,1.279100,1000
2020-07-27,1.279100,1.290572,1.277187,1.288660,1000
2020-07-28,1.288660,1.296270,1.287391,1.295001,1000
2020-07-29,1.295001,1.298123,1.294231,1.297353,1000
2020-07-30,1.297353,1.304659,1.296136,1.303441,1000
2020-07-31,1.303441,1.315356,1.301455,1.313370,1000
2020-08-03,1.313370,1.314982,1.303701,1.305313,1000
2020-08-04,1.305313,1.307527,1.303610,1.305824,1000
2020-08-05,1.305824,1.315708,1.304177,1.314060,1000
2020-08-06,1.314060,1.316378,1.312434,1.314752,1000
2020-08-07,1.314752,1.316844,1.302199,1.304291,1000
2020-08-10,1.304291,1.309000,1.303506,1.308216,1000
2020-08-11,1.308216,1.309921,1.305997,1.307702,1000
2020-08-12,1.307702,1.308317,1.304017,1.304631,1000
2020-08-13,1.304631,1.308932,1.303915,1.308216,1000
2020-08-14,1.308216,1.311468,1.307536,1.310788,1000
2020-08-17,1.310788,1.312582,1.308650,1.310444,1000
2020-08-18,1.310444,1.325213,1.307983,1.322751,1000
2020-08-19,1.322751,1.323484,1.318354,1.319087,1000
2020-08-20,1.319087,1.320979,1.317022,1.318913,1000
2020-08-21,1.318913,1.320744,1.307927,1.309758,1000
2020-08-24,1.309758,1.310777,1.306854,1.307873,1000
2020-08-25,1.307873,1.314676,1.306740,1.313543,1000
2020-08-26,1.313543,1.319570,1.312538,1.318565,1000
2020-08-27,1.318565,1.323798,1.317693,1.322926,1000
2020-08-28,1.322926,1.336269,1.320703,1.334045,1000
2020-08-31,1.334045,1.338113,1.333367,1.337435,1000
2020-09-01,1.337435,1.342387,1.336609,1.341562,1000
2020-09-02,1.341562,1.343562,1.329557,1.331558,1000
2020-09-03,1.331558,1.332618,1.325200,1.326260,1000
2020-09-04,1.326260,1.326927,1.322260,1.322926,1000
2020-09-08,1.322926,1.326721,1.300156,1.303951,1000
2020-09-09,1.303951,1.304528,1.300490,1.301067,1000
2020-09-10,1.301067,1.304376,1.281212,1.284522,1000
2020-09-11,1.284522,1.285671,1.277623,1.278772,1000
2020-09-14,1.278772,1.289443,1.276994,1.287664,1000
2020-09-15,1.287664,1.289097,1.285237,1.286670,1000
2020-09-16,1.286670,1.300298,1.284399,1.298027,1000
2020-09-17,1.298027,1.298709,1.294823,1.295505,1000
